,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
24828,24899,Text,2008-03-23,Platons Gastmahl,de,"Plato, 427? BCE-347? BCE; Kassner, Rudolf, 1873-1959 [Translator]",Classical literature; Philosophy; Plato,BD,DE Sachbuch
24890,24961,Text,2008-03-30,"Der Teufel und die Hölle
in der darstellenden Kunst von den Anfängen bis zum Zeitalter Dante's und Giotto's",de,"Köppen, Alfred, 1869-1940",Mythology; Christian ethics; Devil in art; Hell,N,DE Sachbuch
24948,25019,Text,2008-04-08,Ein Drama in Mexico.,de,"Verne, Jules, 1828-1905",Mutiny -- Fiction; Mexico -- Fiction,PQ,DE Prosa
24977,25048,Text,2008-04-11,Soldan's Geschichte der Hexenprozesse. Zweiter Band,de,"Soldan, Wilhelm Gottlieb, 1803-1869; Heppe, Heinrich, 1820-1879 [Editor]",Witchcraft -- History,BF,DE Sachbuch
25086,25157,Text,2008-04-24,Über Integralinvarianten und Differentialgleichungen,de,"Lie, Sophus, 1842-1899",Differential equations; Integrals,QA,Mathematics; DE Sachbuch
25133,25204,Text,2008-04-27,Der Mörder: Eine Novelle,de,"Schnitzler, Arthur, 1862-1931; Huber, Ernst, 1895-1960 [Illustrator]",Austrian fiction,PT,DE Prosa
25459,25530,Text,2008-05-19,Die Nymphe des Brunnens,de,"Musäus, Johann Karl August, 1735-1787; Fraungruber, Hans, 1863-1933 [Editor]; Taschner, Ignatius, 1871-1913 [Illustrator]",Folklore -- Germany; Fairy tales -- Germany,PT,DE Kinderbuch
25650,25721,Text,2008-06-07,"Caspar Hauser; oder, Die Trägheit des Herzens, Roman",de,"Wassermann, Jakob, 1873-1934","Biographical fiction; Germany -- Social life and customs -- 19th century -- Fiction; Bayern (Bavaria, Germany : Province) -- Fiction; Hauser, Kaspar, 1812-1833 -- Fiction",PT,DE Prosa
25651,25722,Text,2008-06-07,"Leben und Schicksale des Katers Rosaurus
oder die kleine Prinzessin und ihre Katze",de,"Winter, Amalie, 1802-1879",Cats -- Juvenile fiction; Princesses -- Juvenile fiction,PZ,DE Kinderbuch
25712,25783,Text,2008-06-14,"Experimentelle Untersuchungen über die Frage »Ist die Furcht vor Krankheitsübertragung durch das Telephon berechtigt«?
Inaugural-Dissertation zur Erlangung der Doktorwürde in der Medizin, Chirurgie und Geburtshülfe der Hohen Medizinischen Fakultät der Königlichen Universität Greifswald",de,"Weiss, Carl, 1887-",Thesis (Ph. D.); Microbiology,QR,Microbiology
25720,25791,Text,2008-06-14,In der Strafkolonie,de,"Kafka, Franz, 1883-1924",Short stories; Torture -- Fiction,PT,DE Prosa
25725,25796,Text,2008-06-15,"Blicke in das Leben der Zigeuner
Von einem Zigeuner",de,"Wittich, Engelbert, 1878-1937",Romanies,DX,DE Sachbuch
25928,25999,Text,2008-07-08,"Der Hansische Stahlhof in London
Ein Vortrag, gehalten im Saale des goldenen Sterns zu Bonn am 11. März 1856",de,"Pauli, Reinhold, 1823-1882","Speeches, addresses, etc.; Europe -- History -- Hanseatic League",DA; DD,DE Sachbuch
26190,26261,Text,2008-08-11,Die Frau von dreißig Jahren,de,"Balzac, Honoré de, 1799-1850; Heichen, Walter, 1876-1970 [Translator]",Marriage -- Fiction,PQ,DE Prosa
26331,26402,Text,2008-08-23,Engelhart Ratgeber: Roman,de,"Wassermann, Jakob, 1873-1934",German fiction,PT,DE Prosa
26373,26444,Text,2008-08-28,Schläfst du Mutter?; Ruth. Novellen,de,"Wassermann, Jakob, 1873-1934",Fiction,PT,DE Prosa
26615,26686,Text,2008-09-21,Unterm Birnbaum,de,"Fontane, Theodor, 1819-1898","Detective and mystery stories, German; Germany -- Social life and customs -- 19th century -- Fiction; Germany, Northern -- Fiction",PT,DE Prosa
26623,26694,Text,2008-09-23,Der heilige Bürokrazius: Eine heitere Legende,de,"Greinz, Rudolf, 1866-1942",German wit and humor; Bureaucracy,PT,
26651,26722,Text,2008-09-28,DIR: Gedichte,de,"Vogeler, Heinrich, 1872-1942",Poetry,PT,DE Lyrik
26878,26949,Text,2008-10-18,"Vom Musikalisch-Schönen
Ein Beitrag zur Revision der Ästhetik der Tonkunst",de,"Hanslick, Eduard, 1825-1904",Music -- Philosophy and aesthetics,ML,DE Sachbuch
26893,26964,Text,2008-10-19,Briefe aus dem Gefängnis,de,"Luxemburg, Rosa, 1871-1919","Luxemburg, Rosa, 1871-1919; Communists -- Germany -- Correspondence",HX,DE Prosa
26900,26971,Text,2008-10-20,Utopia,de,"More, Thomas, Saint, 1478-1535",Utopias -- Early works to 1800,HX,DE Sachbuch
26901,26972,Text,2008-10-20,Die Theorie des Romans,de,"Lukács, György, 1885-1971",Fiction -- History and criticism,PN,DE Sachbuch
27134,27205,Text,2008-11-09,"Die Physiologie und Psychologie des Lachens und des Komischen.
Ein Beitrag zur experimentellen Psychologie für Naturforscher, Philosophen und gebildete Laien.",de,"Hecker, Ewald, 1843-1909","Psychophysiology; Laughter; Comic, The",BF,
27135,27206,Text,2008-11-09,Neugesammelte Volkssagen aus dem Lande Baden und den angrenzenden Gegenden,de,"Baader, Bernhard [Editor]",Tales -- Germany -- Baden,PT,DE Kinderbuch
27149,27220,Text,2008-11-09,"Himmelsvolk: Ein Buch von Blumen, Tieren und Gott",de,"Bonsels, Waldemar, 1881?-1952; Schreiber, Margarete [Illustrator]",Fantasy fiction; Animals -- Juvenile fiction; Elves -- Juvenile fiction,PT; PZ,DE Prosa; DE Kinderbuch
27183,27254,Text,2008-11-13,Die Romantik der Chemie,de,"Nagel, Oskar, 1874-",Chemistry,QD,DE Sachbuch
